"id","LastName","FirstName","BirthDate","BirthCountry","Gender","CitizenshipCountry","CitizenshipBasis","CitizenshipStartDate","PassportCountry","PassportIssueDate","PassportExpirationDate","group","CurrentEmploymentTitle","CurrentEmploymentStartDate","EmailAddress","MilitaryServiceBranch","MilitaryDischargeType","MilitaryDischargeDate"
"Ada Campo-Corrente","Campo-Corrente","Ada",1951-11-26,"Tethys","Female","Tethys","BirthNation",1951-11-26,"Tethys",2013-07-14,2023-07-13,"Executive","SVP/CIO",2004-10-05,"Ada.Campo-Corrente@gastech.com.kronos",NA,NA,NA
"Adan Morlun","Morlun","Adan",1984-10-09,"Kronos","Male","Kronos","BirthNation",1984-10-09,NA,NA,NA,"Facilities","Truck Driver",2006-01-14,"Adan.Morlun@gastech.com.kronos","ArmedForcesOfKronos","HonorableDischarge",2005-10-01
"Adra Nubarron","Nubarron","Adra",1968-06-06,"Tethys","Female","Tethys","BirthNation",1968-06-06,"Tethys",2007-11-12,2017-11-11,"Engineering","Geologist",1994-07-08,"Adra.Nubarron@gastech.com.kronos",NA,NA,NA
"Albina Hafon","Hafon","Albina",1987-06-14,"Kronos","Female","Kronos","BirthNation",1987-06-14,NA,NA,NA,"Facilities","Truck Driver",2009-09-12,"Albina.Hafon@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2007-10-01
"Anda Ribera","Ribera","Anda",1975-11-17,"Tethys","Female","Tethys","BirthNation",1975-11-17,"Tethys",2009-06-15,2019-06-14,"Administration","Assistant to CFO",2009-10-30,"Anda.Ribera@gastech.com.kronos",NA,NA,NA
"Axel Calzas","Calzas","Axel",1975-09-13,"Tethys","Male","Tethys","BirthNation",1975-09-13,"Tethys",2012-01-31,2022-01-30,"Engineering","Drill Technician",1997-07-17,"Axel.Calzas@gastech.com.kronos",NA,NA,NA
"Benito Hawelon","Hawelon","Benito",1978-11-23,"Kronos","Male","Kronos","BirthNation",1978-11-23,NA,NA,NA,"Facilities","Truck Driver",2000-02-21,"Benito.Hawelon@gastech.com.kronos","ArmedForcesOfKronos","HonorableDischarge",1999-10-01
"Bertrand Ovan","Ovan","Bertrand",1964-12-12,"Tethys","Male","Tethys","BirthNation",1964-12-12,"Tethys",2008-10-03,2018-10-02,"Facilities","Facilities Group Manager",1998-10-01,"Bertrand.Ovan@gastech.com.kronos","TethanDefenseForceAir","HonorableDischarge",1993-10-01
"Birgitta Frente","Frente","Birgitta",1976-07-31,"Tethys","Female","Tethys","BirthNation",1976-07-31,"Tethys",2006-03-17,2016-03-16,"Engineering","Geologist",1999-05-03,"Birgitta.Frente@gastech.com.kronos",NA,NA,NA
"Brand Tempestad","Tempestad","Brand",1979-05-14,"Tethys","Male","Tethys","BirthNation",1979-05-14,"Tethys",2012-05-05,2022-05-04,"Engineering","Drill Technician",2004-06-12,"Brand.Tempestad@gastech.com.kronos",NA,NA,NA
