"id","BirthCountry","group","CurrentEmploymentTitle","MilitaryServiceBranch"
"Ada Campo-Corrente","Tethys","Executive","SVP/CIO",NA
"Adan Morlun","Kronos","Facilities","Truck Driver","ArmedForcesOfKronos"
"Adra Nubarron","Tethys","Engineering","Geologist",NA
"Albina Hafon","Kronos","Facilities","Truck Driver","ArmedForcesOfKronos"
"Anda Ribera","Tethys","Administration","Assistant to CFO",NA
"Axel Calzas","Tethys","Engineering","Drill Technician",NA
"Benito Hawelon","Kronos","Facilities","Truck Driver","ArmedForcesOfKronos"
"Bertrand Ovan","Tethys","Facilities","Facilities Group Manager","TethanDefenseForceAir"
"Birgitta Frente","Tethys","Engineering","Geologist",NA
"Brand Tempestad","Tethys","Engineering","Drill Technician",NA
"Carla Forluniau","Kronos","Administration","Assistant to IT Group Manager","ArmedForcesOfKronos"
"Cecilia Morluniau","Kronos","Facilities","Truck Driver","ArmedForcesOfKronos"
"Claudio Hawelon","Kronos","Facilities","Truck Driver","ArmedForcesOfKronos"
"Cornelia Lais","Kronos","Administration","Assistant to Security Group Manager","ArmedForcesOfKronos"
"Dante Coginian","Kronos","Facilities","Lead Janitor","ArmedForcesOfKronos"
"Dylan Scozzese","Kronos","Facilities","Truck Driver","ArmedForcesOfKronos"
"Edvard Vann","Kronos","Security","Perimeter Control","ArmedForcesOfKronos"
"Elsa Orilla","Tethys","Engineering","Drill Technician",NA
"Emile Arpa","Kronos","Facilities","Janitor","ArmedForcesOfKronos"
"Felix Balas","Tethys","Engineering","Engineer","TethanDefenseForceNavy"
"Felix Resumir","Tethys","Security","Security Group Manager","TethanDefenseForceArmy"
"Gustav Cazar","Tethys","Engineering","Hydraulic Technician",NA
"Henk Mies","Kronos","Facilities","Truck Driver","ArmedForcesOfKronos"
"Hennie Osvaldo","Kronos","Security","Perimeter Control","ArmedForcesOfKronos"
"Hideki Cocinaro","Tethys","Security","Site Control","TethanDefenseForceArmy"
"Inga Ferro","Kronos","Security","Site Control","ArmedForcesOfKronos"
"Ingrid Barranco","Tethys","Executive","SVP/CFO",NA
"Irene Nant","Kronos","Facilities","Truck Driver","ArmedForcesOfKronos"
"Isak Baza","Tethys","Information Technology","IT Technician",NA
"Isande Borrasca","Tethys","Engineering","Drill Technician",NA
"Isia Vann","Kronos","Security","Perimeter Control","ArmedForcesOfKronos"
"Kanon Herrero","Tethys","Security","Badging Office",NA
"Kare Orilla","Tethys","Engineering","Drill Technician",NA
"Lars Azada","Tethys","Engineering","Engineer","TethanDefenseForceAir"
"Lidelse Dedos","Tethys","Engineering","Engineering Group Manager",NA
"Linda Lagos","Tethys","Administration","Assistant to COO",NA
"Linnea Bergen","Tethys","Information Technology","IT Group Manager",NA
"Loreto Bodrogi","Kronos","Security","Site Control","ArmedForcesOfKronos"
"Lucas Alcazar","Tethys","Information Technology","IT Helpdesk",NA
"Marin Onda","Tethys","Engineering","Drill Site Manager",NA
"Mat Bramar","Tethys","Administration","Assistant to CEO",NA
"Minke Mies","Kronos","Security","Perimeter Control","ArmedForcesOfKronos"
"Nils Calixto","Tethys","Information Technology","IT Technician",NA
"Orhan Strum","Asteria","Executive","SVP/COO",NA
"Rachel Pantanal","Tethys","Administration","Assistant to CIO",NA
"Ruscella Mies Haber","Kronos","Administration","Assistant to Engineering Group Manager","ArmedForcesOfKronos"
"Sten Sanjorge Jr","Tethys","Executive","President/CEO",NA
"Stenig Fusil","Tethys","Security","Building Control","TethanDefenseForceArmy"
"Sven Flecha","Tethys","Information Technology","IT Technician",NA
"Valeria Morlun","Kronos","Facilities","Truck Driver","ArmedForcesOfKronos"
"Varja Lagos","Tethys","Security","Badging Office",NA
"Varro Awelon","Kronos","Facilities","Janitor","ArmedForcesOfKronos"
"Vira Frente","Tethys","Engineering","Hydraulic Technician",NA
"Willem Vasco-Pais","Tethys","Executive","Environmental Safety Advisor",NA
